epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,470.092,1.69056,2.92776,1.39411,1.573,0.67754,0.51136,0.53781,0.30378,0.72565,0.50344,0.53125,0.31099,1.55936,2.55776,1.48305,1.68834,0.00100431,0.00100431,0.00100431
99,474.804,1.65973,2.88909,1.368,1.56102,0.71182,0.48295,0.5594,0.32568,0.76576,0.45509,0.54498,0.3292,1.53477,2.52461,1.38206,1.68231,0.00100321,0.00100321,0.00100321
100,479.424,1.63295,2.88087,1.3618,1.57632,0.74468,0.51136,0.55255,0.30134,0.76927,0.48011,0.53665,0.30594,1.64011,2.60631,1.44529,1.74098,0.00100211,0.00100211,0.00100211
101,483.857,1.63975,2.8454,1.36928,1.57796,0.75529,0.53125,0.57272,0.33253,0.76198,0.51841,0.56333,0.33822,1.53197,2.53656,1.40096,1.67899,0.00100101,0.00100101,0.00100101
102,488.314,1.63444,2.91064,1.35972,1.54256,0.74628,0.50284,0.55552,0.31934,0.75056,0.4958,0.54814,0.32585,1.58037,2.59459,1.38626,1.70197,0.000999911,0.000999911,0.000999911
103,492.886,1.68872,2.95154,1.39705,1.59332,0.74477,0.5142,0.55466,0.3101,0.72831,0.50284,0.53515,0.3196,1.60879,2.46747,1.38466,1.69367,0.000998811,0.000998811,0.000998811
104,497.391,1.62019,2.79081,1.34644,1.55542,0.64972,0.52841,0.54195,0.30644,0.68777,0.50568,0.53479,0.318,1.56951,2.48668,1.42981,1.72865,0.000997711,0.000997711,0.000997711
105,501.927,1.57361,2.74742,1.27486,1.50914,0.70617,0.49159,0.54548,0.31698,0.68577,0.47739,0.52768,0.31303,1.54919,2.54756,1.39673,1.70407,0.000996611,0.000996611,0.000996611
106,506.454,1.62236,2.81182,1.32195,1.53458,0.72587,0.5142,0.55916,0.32862,0.72673,0.51136,0.55509,0.34026,1.51508,2.49097,1.35843,1.63121,0.000995512,0.000995512,0.000995512
107,510.951,1.62824,2.87447,1.31418,1.53396,0.76437,0.51136,0.57759,0.33982,0.74281,0.50284,0.57023,0.34805,1.51019,2.45554,1.30086,1.64988,0.000994412,0.000994412,0.000994412
108,515.63,1.63538,2.82549,1.29404,1.49997,0.81324,0.49432,0.56957,0.33495,0.82733,0.49148,0.5644,0.33585,1.5226,2.49333,1.35783,1.65508,0.000993312,0.000993312,0.000993312
109,520.051,1.59068,2.78594,1.28443,1.5039,0.81322,0.4858,0.57856,0.33809,0.80533,0.48011,0.55666,0.34096,1.53304,2.45935,1.33895,1.6638,0.000992212,0.000992212,0.000992212
110,524.659,1.61705,2.84593,1.29379,1.53362,0.78628,0.49716,0.56464,0.31994,0.7773,0.49148,0.55162,0.32621,1.55545,2.49454,1.35529,1.64881,0.000991112,0.000991112,0.000991112
111,529.103,1.5997,2.77507,1.30141,1.49587,0.67919,0.51705,0.54521,0.31905,0.67173,0.51136,0.53165,0.32565,1.56017,2.45208,1.47222,1.69505,0.000990012,0.000990012,0.000990012
112,533.725,1.63888,2.84391,1.32602,1.52985,0.77489,0.51989,0.56747,0.32728,0.76561,0.50568,0.55571,0.33623,1.53877,2.44448,1.36632,1.6675,0.000988912,0.000988912,0.000988912
113,538.123,1.59092,2.76459,1.30113,1.50977,0.78299,0.5,0.56523,0.32833,0.77284,0.49148,0.55009,0.33904,1.51914,2.45544,1.29613,1.67167,0.000987812,0.000987812,0.000987812
114,542.594,1.5814,2.7141,1.28942,1.48503,0.69013,0.52516,0.57252,0.3261,0.67081,0.5384,0.56528,0.33064,1.56095,2.39253,1.3421,1.6325,0.000986712,0.000986712,0.000986712
