epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,381.542,1.00573,4.31845,0.50976,0.92959,1.4493,0.91796,0.71429,0.78729,0.61426,0.76823,0.53279,0.53421,0.33677,0.8327,4.33922,0.58242,0.8872,1.43189,0.0017822,0.0017822,0.0017822
79,386.358,0.95219,4.22219,0.51347,0.88683,1.40579,0.84509,0.7794,0.8208,0.66337,0.78335,0.57143,0.57745,0.41449,0.7665,4.06851,0.58885,0.74316,1.33689,0.00177937,0.00177937,0.00177937
80,391.108,0.95841,4.15997,0.51096,0.89026,1.39858,0.83433,0.75,0.82863,0.64252,0.83134,0.48214,0.54502,0.38664,0.86195,4.10079,0.59551,0.79105,1.4165,0.00177654,0.00177654,0.00177654
81,395.803,0.996,4.12577,0.50541,0.90368,1.42971,0.81482,0.78575,0.84523,0.66373,0.79455,0.62159,0.63131,0.48249,0.84274,3.95805,0.57192,0.77421,1.36766,0.00177371,0.00177371,0.00177371
82,400.558,0.98376,4.08912,0.51441,0.89224,1.41603,0.83568,0.75,0.83484,0.66708,0.85229,0.58929,0.62054,0.45105,0.77908,3.86317,0.57634,0.6969,1.36704,0.00177089,0.00177089,0.00177089
83,405.27,0.95366,4.02152,0.4986,0.89238,1.40702,0.87442,0.74612,0.8232,0.65447,0.77379,0.60714,0.60005,0.40929,0.79382,3.82897,0.61072,0.70511,1.39479,0.00176806,0.00176806,0.00176806
84,409.998,0.97228,4.11475,0.51177,0.89444,1.41907,0.89307,0.71429,0.81171,0.6764,0.79938,0.57143,0.59555,0.4145,0.79902,4.0207,0.57224,0.77347,1.35536,0.00176523,0.00176523,0.00176523
85,414.887,0.97135,4.1895,0.51671,0.89129,1.41566,0.87679,0.76254,0.82053,0.6235,0.64322,0.55357,0.53434,0.3855,0.80784,3.96161,0.58588,0.79897,1.38863,0.0017624,0.0017624,0.0017624
86,419.581,0.94387,3.99877,0.506,0.87351,1.38155,0.8539,0.73063,0.84857,0.67798,0.77178,0.625,0.62271,0.44826,0.76184,3.91022,0.57844,0.73272,1.38581,0.00175957,0.00175957,0.00175957
87,424.306,0.95376,4.0368,0.50859,0.87492,1.40865,0.87514,0.71429,0.82565,0.654,0.83927,0.55954,0.60928,0.42222,0.78453,3.87176,0.57543,0.73384,1.36064,0.00175674,0.00175674,0.00175674
88,429.048,0.93923,3.97918,0.50322,0.87127,1.39364,0.90261,0.66205,0.79771,0.62439,0.68031,0.55357,0.56125,0.41481,0.81929,4.0437,0.56728,0.74638,1.43713,0.00175391,0.00175391,0.00175391
89,433.78,0.9529,4.14478,0.51061,0.8663,1.4115,0.89923,0.71429,0.81442,0.65085,0.78336,0.53571,0.57235,0.39486,0.78291,3.96138,0.58136,0.74135,1.36894,0.00175109,0.00175109,0.00175109
90,438.511,0.92926,3.95455,0.50809,0.84627,1.37242,0.83275,0.80028,0.84733,0.68869,0.7522,0.60714,0.59812,0.42781,0.74637,3.76259,0.5865,0.66921,1.3159,0.00174826,0.00174826,0.00174826
91,443.313,0.9413,4.05042,0.50484,0.85566,1.37974,0.89918,0.75,0.83323,0.63835,0.7677,0.53571,0.55331,0.34568,0.85466,4.13481,0.56331,0.76884,1.4214,0.00174543,0.00174543,0.00174543
92,448.072,0.96242,4.02609,0.50851,0.87894,1.39335,0.8558,0.74194,0.82829,0.65289,0.74263,0.60714,0.60086,0.436,0.79502,3.6131,0.56842,0.7609,1.37188,0.0017426,0.0017426,0.0017426
93,452.796,0.9247,3.86761,0.50117,0.84882,1.37629,0.87282,0.76786,0.82885,0.65717,0.73155,0.64286,0.60377,0.44985,0.81264,3.82396,0.57634,0.70795,1.38648,0.00173977,0.00173977,0.00173977
94,457.539,0.91455,3.93814,0.50775,0.83608,1.35998,0.90542,0.73214,0.82539,0.67641,0.85442,0.58929,0.60648,0.44686,0.70301,3.53755,0.57601,0.65919,1.2889,0.00173694,0.00173694,0.00173694
95,462.257,0.95553,3.97545,0.50505,0.88051,1.38695,0.87378,0.82143,0.83377,0.67637,0.79455,0.62162,0.6277,0.43198,0.76666,3.73283,0.58963,0.70705,1.37157,0.00173411,0.00173411,0.00173411
96,467,0.91938,3.84699,0.49483,0.83935,1.37406,0.90452,0.78571,0.83338,0.67296,0.79955,0.64286,0.63707,0.42877,0.77752,3.73321,0.5808,0.71826,1.35643,0.00173129,0.00173129,0.00173129
97,471.914,0.93539,3.88967,0.48853,0.8565,1.38255,0.77202,0.78612,0.81025,0.63762,0.77329,0.54827,0.59882,0.44354,0.82526,3.76815,0.58625,0.78097,1.38715,0.00172846,0.00172846,0.00172846
98,476.627,0.91382,3.77465,0.49899,0.83363,1.36954,0.83241,0.76786,0.83933,0.67591,0.82324,0.625,0.65762,0.45451,0.73477,3.70405,0.57256,0.67429,1.27328,0.00172563,0.00172563,0.00172563
99,481.355,0.89664,3.98012,0.4981,0.82502,1.34684,0.88393,0.81599,0.86345,0.68317,0.81979,0.64995,0.65261,0.47979,0.76702,3.52617,0.57648,0.65681,1.37564,0.0017228,0.0017228,0.0017228
100,486.148,0.85692,3.74568,0.49013,0.79049,1.32121,0.8731,0.78571,0.86079,0.66969,0.83758,0.66071,0.63999,0.40997,0.79024,3.66415,0.5532,0.63533,1.36705,0.00171997,0.00171997,0.00171997
101,490.834,0.89072,3.9214,0.50065,0.79912,1.35147,0.90439,0.71429,0.81995,0.68212,0.83626,0.66071,0.69645,0.46911,0.72576,3.6325,0.55118,0.6613,1.31254,0.00171714,0.00171714,0.00171714
102,495.557,0.89615,3.7561,0.49125,0.82346,1.35944,0.90192,0.71429,0.82467,0.63482,0.79972,0.58929,0.59625,0.44386,0.85512,3.71408,0.56083,0.77391,1.39935,0.00171431,0.00171431,0.00171431
103,500.475,0.85564,3.91042,0.49219,0.80082,1.31102,0.84871,0.80142,0.86025,0.67429,0.77765,0.625,0.62248,0.44726,0.75991,3.57283,0.5603,0.61773,1.37337,0.00171149,0.00171149,0.00171149
104,505.192,0.90024,3.8196,0.49199,0.8081,1.34077,0.95544,0.76576,0.85349,0.67895,0.8036,0.625,0.63961,0.48102,0.76632,3.51878,0.55012,0.63588,1.31731,0.00170866,0.00170866,0.00170866
105,509.869,0.912,3.84338,0.4919,0.82189,1.34277,0.89616,0.73214,0.85383,0.6838,0.81958,0.67857,0.69829,0.49862,0.7319,3.589,0.56113,0.68025,1.30534,0.00170583,0.00170583,0.00170583
106,514.606,0.89724,3.7945,0.49538,0.80814,1.34851,0.86376,0.79255,0.8411,0.69962,0.85641,0.63908,0.65408,0.47204,0.69989,3.55725,0.5621,0.66369,1.29706,0.001703,0.001703,0.001703
107,519.296,0.87479,3.77078,0.49043,0.79628,1.32139,0.86566,0.78571,0.85851,0.67983,0.74862,0.58505,0.58829,0.4424,0.78513,3.54758,0.54383,0.6643,1.35678,0.00170017,0.00170017,0.00170017
108,524.061,0.88258,3.74849,0.49981,0.80285,1.32957,0.88395,0.81614,0.86213,0.69018,0.79149,0.58929,0.58731,0.42652,0.74228,3.51051,0.54274,0.63025,1.31585,0.00169734,0.00169734,0.00169734
109,528.938,0.85745,3.78282,0.49173,0.77581,1.31043,0.84717,0.89091,0.88836,0.66728,0.79319,0.6165,0.64404,0.45421,0.78255,3.58309,0.53474,0.6462,1.37255,0.00169451,0.00169451,0.00169451
110,533.627,0.87109,3.62889,0.47941,0.79997,1.32069,0.85644,0.85232,0.89365,0.69433,0.84116,0.60714,0.6436,0.43185,0.76132,3.70001,0.5609,0.63809,1.31952,0.00169169,0.00169169,0.00169169
111,538.367,0.8599,3.84593,0.49255,0.79194,1.31382,0.83113,0.82143,0.85244,0.70769,0.73525,0.625,0.59568,0.44694,0.64983,3.6125,0.54208,0.60174,1.22439,0.00168886,0.00168886,0.00168886
112,543.084,0.85109,3.67908,0.48593,0.77928,1.30132,0.8613,0.80357,0.86748,0.68862,0.84922,0.6035,0.61275,0.43267,0.75737,3.59067,0.55072,0.66219,1.29172,0.00168603,0.00168603,0.00168603
